runner,processes,agents,steps,simulating_seconds,wall_clock_seconds,computing_seconds,waiting_seconds,communicating_seconds,finishing_seconds,measured_phases,smallest_process_load,largest_process_load,average_imbalance,worst_imbalance,fingerprint
sequential,1,1000,500,0.382399,0.389906,0.382399,0.000000,0.000000,0.000000,false,1000,1000,1.0000,1.0000,1f46683aaa4980b7
sequential,1,1000,500,0.366900,0.374132,0.366900,0.000000,0.000000,0.000000,false,1000,1000,1.0000,1.0000,1f46683aaa4980b7
sequential,1,1000,500,0.370720,0.378056,0.370720,0.000000,0.000000,0.000000,false,1000,1000,1.0000,1.0000,1f46683aaa4980b7
sequential,1,1000,500,0.370402,0.377606,0.370402,0.000000,0.000000,0.000000,false,1000,1000,1.0000,1.0000,1f46683aaa4980b7
sequential,1,1000,500,0.370396,0.377821,0.370396,0.000000,0.000000,0.000000,false,1000,1000,1.0000,1.0000,1f46683aaa4980b7
distributed,1,1000,500,0.354297,0.354399,0.352706,0.000000,0.001581,0.000011,false,1000,1000,1.0000,1.0000,1f46683aaa4980b7
distributed,1,1000,500,0.355123,0.355228,0.353477,0.000000,0.001634,0.000012,false,1000,1000,1.0000,1.0000,1f46683aaa4980b7
distributed,1,1000,500,0.352923,0.353029,0.351348,0.000000,0.001564,0.000011,false,1000,1000,1.0000,1.0000,1f46683aaa4980b7
distributed,1,1000,500,0.360307,0.360399,0.358675,0.000000,0.001622,0.000010,false,1000,1000,1.0000,1.0000,1f46683aaa4980b7
distributed,1,1000,500,0.361528,0.361638,0.359951,0.000000,0.001565,0.000012,false,1000,1000,1.0000,1.0000,1f46683aaa4980b7
distributed,1,1000,500,0.363768,0.363884,0.362140,0.000013,0.001607,0.000009,true,1000,1000,1.0000,1.0000,1f46683aaa4980b7
distributed,1,1000,500,0.358808,0.358926,0.357161,0.000011,0.001628,0.000008,true,1000,1000,1.0000,1.0000,1f46683aaa4980b7
distributed,1,1000,500,0.375080,0.375206,0.373313,0.000022,0.001735,0.000010,true,1000,1000,1.0000,1.0000,1f46683aaa4980b7
distributed,2,1000,500,0.215406,0.215485,0.210025,0.000000,0.051666,0.000809,false,486,514,1.1198,1.2260,1f46683aaa4980b7
distributed,2,1000,500,0.213219,0.213296,0.207444,0.000000,0.051652,0.000780,false,486,514,1.1198,1.2260,1f46683aaa4980b7
distributed,2,1000,500,0.213745,0.213824,0.207401,0.000000,0.048791,0.000813,false,486,514,1.1198,1.2260,1f46683aaa4980b7
distributed,2,1000,500,0.213469,0.213544,0.207913,0.000000,0.050191,0.000816,false,486,514,1.1198,1.2260,1f46683aaa4980b7
distributed,2,1000,500,0.214174,0.214258,0.208235,0.000000,0.049738,0.000741,false,486,514,1.1198,1.2260,1f46683aaa4980b7
